,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
115.9197@569.35,565769.39428,261792.17417,841099.19354,330724.02452,355591.98752,77710.91635,67971.19284,947281.30206,655450.00534,1615379.87868,350244.71892,463484.612,1203253.90368,136309.70638,2346371.54038,653236.18436,704228.36443,891369.86643,763040.80112,957810.15526,997975.65025,943310.00908,56764.21311,1117294.03513,1120672.4156,471043.43104,268293.61009,1383120.75582,86284.2446
115.9199@635.1,946089.32097,917558.06772,1309378.30314,769998.33217,722949.95559,1344767.89291,1348389.69625,2406398.10796,946621.85971,1392808.59774,743939.10236,1221166.17193,2704002.77003,716612.2275,1319051.18021,1064989.15156,959633.49239,1505925.70404,958784.6512,2229936.25239,2856568.35646,1382879.14482,2223223.68344,2920561.72346,1413541.99504,614676.40464,823256.9602,2285188.37884,2484137.24645
116.0708@35.41,119835.08363,83922.93841,161663.16898,148639.19838,113775.60901,90176.82213,111445.71496,176566.29131,122768.74023,23749.07267,111069.14158,78736.65095,104304.30235,64944.30798,154861.99642,143616.73934,115081.04688,139352.6245,122608.04139,59818.70957,123032.34938,25440.46859,111333.97453,118512.40645,116826.77772,122149.87656,71331.98356,142360.23885,46628.18583
116.9277@604.59,45787771.0043,44256147.56858,62191518.17343,40440159.9662,37633660.29689,55697769.95605,53068044.25832,54045257.03343,44684573.86712,56138696.72415,15322047.25405,54245810.84717,36478258.75703,42327093.45727,71520420.20441,47561417.69339,46756684.23607,55764580.93299,71348278.07442,35257727.513,60795391.1906,56137448.21177,52307731.24561,57098952.7745,56101703.49146,38753390.33797,37740163.73714,54860938.3871,58158521.08936
116.9279@570.44,14808578.75434,11454428.24115,322788.26842,11342509.22292,14343009.29346,101402923.83698,293112.83742,871874.52772,16897826.70779,67996726.42419,9480374.43049,20750300.67316,85671865.62319,11060940.93928,33204.28799,229772.10476,18742774.4325,94908743.52644,19789706.28946,21903494.93928,1217061.40936,91715448.93729,438007.41871,25673.00832,2916878.1281,15289066.93473,13653098.79134,3160925.28539,34275143.61064
116.955@635.29,1348964.1243,54285749.67773,1578853.18807,50095595.49133,959100.88469,1829786.57988,62654638.4371,1797587.21234,52888476.4485,1874922.4902,1253769.94747,1462509.01095,68802265.1578,49650433.14097,1880839.74115,1456651.89789,56308307.32646,1829070.14837,1463519.81842,65586638.15998,68749416.61992,1848882.31157,66240810.14216,1899581.8208,1837695.8787,40937194.49841,995231.3632,1853672.16088,1786255.08187
117.0377@604.77,2274929.47732,2031358.04672,1621371.60425,1706124.24795,1361883.20138,365054.98098,3077318.25678,1838824.46328,2006284.37057,370320.16329,1661816.18579,1580181.57258,307438.34974,1763839.03334,361831.51218,2588226.00686,2473816.89987,2835978.68117,1532795.78973,1759429.90511,99062.05954,259040.88909,2628075.36687,2982531.7053,384404.78639,1412012.7935,1476671.40743,368042.07719,2947433.03075
117.1802@636.43,77101.92999,150991.0864,373792.43426,77111.09874,29601.36703,648764.57121,383157.57664,623257.69998,157249.17207,689644.19653,127508.10044,241220.89157,640483.88549,83399.94209,720103.02108,113519.53732,184962.23795,652269.54199,232672.51386,520160.04757,642308.25509,659688.84781,534106.65345,729801.29901,674920.47344,17290.56505,37058.16483,680375.16534,622500.37187
117.9275@571.44,1403826.34477,1320390.16061,6394500.1731,912770.587,721240.57575,4786141.04456,1231875.81176,5684024.08947,2466315.45066,6796282.21059,1240790.94964,1138228.277,9077918.5879,1153899.66361,2176478.11391,1685085.60618,2374133.31769,10021243.31365,2604593.05044,883186.82845,2602990.27808,2789085.85866,1616104.41029,2967393.67733,11044078.36255,922599.74609,1177314.67484,2646718.6519,116295.61344
117.9276@604.72,3181325.66792,4890296.36958,5061879.41718,4204638.41329,3734454.7963,4447997.78392,6255110.37975,5664102.21395,3166525.8954,5864632.25265,1964289.51369,5771706.32226,5761474.70016,2910192.734,6226990.5418,5022175.47304,3400768.91313,5834708.91193,743350.25439,3853718.06215,6194716.85332,6102147.52275,5492442.80244,7522447.44999,5907720.67996,3944056.08619,2157797.16577,5752032.49579,6622934.35639
117.9278@635.53,5775194.27341,5710267.0001,6804591.57884,5167932.93402,4442818.36319,8169099.75968,6933754.75433,8091427.81061,5777549.6824,8510911.94365,5410424.72117,6240170.86246,8211971.60638,5163643.3935,8528849.42186,6217106.51888,6072746.9659,8238460.29547,6268579.05,7578025.53822,8132834.80286,8341343.23921,7596906.96778,8637768.11036,8269750.47824,4229713.5907,4583448.57772,8444582.71107,8077890.68812
118.9268@635.75,2192481.05239,2077523.29615,2523313.21862,1890699.57101,1549836.52747,22216.87785,2517329.26395,2914539.88642,2057401.43251,3526.33481,2017725.3508,2268369.91946,2941745.13996,1874670.29495,3246225.91636,2397299.3779,2168740.87924,3039359.30594,2062361.0954,2853201.94827,2943196.15819,3184618.0925,2802684.495,3243025.61749,3167840.45368,1438255.68892,1635822.60938,3033060.98582,2931389.41152
121.0285@521.69,223751.67025,257609.62547,270804.49335,284178.99521,261316.75325,249668.1749,258435.41843,260040.3881,222613.20818,255186.11429,279471.40047,265196.76834,272885.9797,279923.55404,261113.05192,252794.9429,251565.04962,231764.05809,260763.31132,218675.75773,317611.64739,265744.59057,235851.93083,264200.68037,257061.74018,309660.69827,269674.95965,264327.27388,274832.31941
122.9685@637.36,298509.26683,296639.43664,394523.72886,275987.74701,208998.75029,467534.41873,433003.56508,499658.64617,300823.20385,470819.60075,268602.85265,348595.04258,511027.54414,277414.72628,470561.21868,318474.72969,307680.85456,470825.6207,327852.75639,452548.553,521001.44754,499437.38178,461395.97438,522444.64219,473876.52789,206553.50644,234339.36901,511001.44435,488682.56528
