,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
335.2944@537.41,31670.79606,97680.2768,23593.65206,51405.72037,75452.0915,9273.01568,47489.34641,16296.34543,21708.36407,6576.48449,8656.17785,30879.34052,23099.75892,24002.78438,16168.85642,17946.84065,36374.70833,32685.48859,21463.96723,50636.98846,29343.67348,2373.003,48102.64358,43785.59899,13416.7186,22217.0643,31982.48151,26199.67587,8918.74812
329.1644@478.98,18047.28514,28217.364,17293.24853,13598.33527,24172.56144,6684.41821,22555.71401,9956.08255,13617.79331,7108.95473,7078.17516,15449.18184,15545.53098,12696.68466,7573.24962,12258.89303,26232.23751,16718.81949,17371.26065,20126.23279,17186.9162,3652.60266,27451.40312,22130.57476,6977.32897,10114.18646,17418.7712,15937.01512,10198.41829
338.2388@479.54,451591.48084,521166.41215,460005.55864,373391.51099,449573.68195,361789.67753,430295.14786,348880.87743,384987.77658,318471.73281,319905.47664,412560.27514,409532.41036,397494.99172,302463.12152,411975.07465,461911.16993,453566.35829,414840.5604,422783.26127,367061.16032,238176.39387,481102.01608,487093.3692,315379.26736,357399.47562,409247.95569,457952.46839,328590.012
729.6029@488.27,23306.62235,53865.59536,43109.48889,24820.54973,24358.16389,17613.85129,32374.51022,20983.54948,19955.98767,15204.01094,12159.1387,27198.89747,16684.75004,28397.74053,13281.95667,22998.96245,44308.75274,31189.54258,36104.24745,28788.05442,31504.9478,3249.47941,45706.33849,29477.06794,9563.33254,4391.75733,25272.3036,41642.40017,7623.28911
691.5045@487.38,151126.07693,249334.02744,98343.75629,138129.13713,258873.76882,12637.04923,147345.01901,52650.77654,83504.54332,21539.94664,40735.00348,131856.87191,92570.25413,100070.83646,50433.44536,119700.40477,185892.79311,151620.94933,104391.5665,135899.30349,99904.7902,3764.76915,190135.97854,148503.65222,42213.08991,123300.03206,143384.68506,115484.68118,53667.92459
225.1852@370.54,169303.86608,174954.87693,109905.59254,73869.66682,248048.15197,37011.22919,219728.85063,51645.09377,74354.8786,40410.44698,38257.2986,176789.59629,95293.84717,79767.11712,52967.87624,95681.8751,482393.01918,404361.17709,125015.07427,226768.62379,120542.58133,26048.64077,258505.22821,171929.1264,36240.91122,88218.67584,228365.45916,255987.34104,62189.98558
315.1881@478.99,59312.27993,79808.68733,49170.27924,47754.32919,66921.61049,27316.29975,48250.58858,29738.27255,42472.46136,25088.23218,30942.27159,43294.2685,35380.15618,46477.8076,22054.70693,41073.08959,60975.54015,49805.19881,45315.86873,44476.61255,32792.07571,17286.32326,57694.63006,54764.52621,25133.82974,42275.78032,54246.61287,42698.289,24189.45207
927.7847@488.25,207490.33895,333523.89783,156773.71498,194979.00342,335078.89044,63922.43637,209909.25898,87975.78139,147018.51093,71692.42524,91653.23347,191572.94917,129981.91329,172042.1718,80127.56325,174059.00989,298559.59655,203164.48614,182378.80137,211283.76723,152388.40521,36514.65257,231492.68191,183167.96873,66425.51854,190791.09326,219992.52706,139141.92246,78919.21654
590.511@479.3,73353.54667,105916.63886,61290.98696,61577.15098,107994.17992,29285.52218,65975.07294,30177.34296,56931.27752,27985.63546,35841.31858,65220.05285,49615.89154,62685.96102,24593.0774,52288.83925,93209.04147,61607.57168,56240.80183,67076.59703,47491.71552,17519.03803,88953.08841,71173.81249,23629.6272,60997.69256,79518.22873,59956.492,34234.74534
589.5097@479.35,381074.48621,541513.63035,332138.46294,322032.00536,524180.30955,168564.29147,361082.65684,193913.83693,305625.80174,160661.5683,204739.29904,348112.73132,285295.24873,330016.56548,164386.16946,294739.4798,484093.07771,331509.66795,327680.8108,354351.84116,274588.63982,112603.99997,460918.94645,375192.57444,149169.51996,318103.50223,403360.55875,318816.97139,196378.07187
