,men_HCW011_RPLCneg,woman_Pt122_RPLCneg,woman_HCW019_RPLCneg,woman_Pt085_RPLCneg,men_Pt007_RPLCneg,woman_Pt038_RPLCneg,woman_HCW099_RPLCneg,woman_HCW080_RPLCneg,woman_Pt070_RPLCneg,woman_Pt044_RPLCneg,woman_HCW114_RPLCneg,woman_Pt032_RPLCneg,men_HCW237_RPLCneg,men_HCW059_RPLCneg,men_Pt095_RPLCneg,men_Pt010_RPLCneg,woman_HCW035_RPLCneg,men_Pt025_RPLCneg,men_Pt089_RPLCneg,men_Pt063_RPLCneg,men_HCW574_RPLCneg,men_Pt068_RPLCneg,woman_Pt164_RPLCneg,men_Pt047_RPLCneg,men_Pt074_RPLCneg,men_Pt020_RPLCneg,men_Pt110_RPLCneg,woman_Pt036_RPLCneg,men_HCW578_RPLCneg
Label,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,COVID,COVID,COVID,HC
115.9197@569.35,350244.71892,1148613.49719,27437.3289,3968756.06275,949581.2066,56764.21311,471043.43104,77710.91635,2014738.15238,1120672.4156,787583.31729,436331.07169,86284.2446,655450.00534,30212.08377,136309.70638,2304082.2815,565769.39428,354863.80073,261792.17417,653236.18436,2044126.6243,891369.86643,1615379.87868,196000.86059,48421.2335,1383120.75582,1715530.62285,2346371.54038
115.9199@635.1,743939.10236,1676873.94326,1101819.43145,3055041.07293,1149718.38397,2223223.68344,614676.40464,1344767.89291,2881621.72905,1413541.99504,1625614.69617,1030229.28218,2484137.24645,946621.85971,985966.92905,716612.2275,1448720.82347,946089.32097,793617.61326,917558.06772,1064989.15156,2581066.91351,1505925.70404,1392808.59774,698250.14082,1434343.15427,2285188.37884,2324772.93794,1319051.18021
116.0708@35.41,111069.14158,103219.81199,100860.7612,45514.41135,97444.01357,111333.97453,122149.87656,90176.82213,128229.6742,116826.77772,117128.54716,102507.58958,46628.18583,122768.74023,109231.67286,64944.30798,34773.90648,119835.08363,109509.10503,83922.93841,143616.73934,133231.6142,139352.6245,23749.07267,99526.7451,138007.67462,142360.23885,56355.75096,154861.99642
116.9277@604.59,15322047.25405,54479568.12488,54911100.63459,56306274.1933,50536322.24599,52307731.24561,38753390.33797,55697769.95605,56114316.57738,56101703.49146,34443417.74819,46782890.04757,58158521.08936,44684573.86712,51560647.18772,42327093.45727,56006917.25234,45787771.0043,39505378.38471,44256147.56858,47561417.69339,52921245.35591,55764580.93299,56138696.72415,38603830.87645,56427804.79157,54860938.3871,65041926.68484,71520420.20441
116.9279@570.44,9480374.43049,1818935.10541,20714606.74058,93816566.65377,1017994.0425,438007.41871,15289066.93473,101402923.83698,1293589.57521,2916878.1281,93514517.72906,202013.74918,34275143.61064,16897826.70779,27761529.55591,11060940.93928,95216031.89944,14808578.75434,11469782.77481,11454428.24115,229772.10476,670688.255,94908743.52644,67996726.42419,13913317.54107,89427533.84046,3160925.28539,653342.97223,33204.28799
116.955@635.29,1253769.94747,1888232.10019,1480256.23378,1854713.8222,62976730.99574,66240810.14216,40937194.49841,1829786.57988,69584105.21563,1837695.8787,1839050.20877,59577218.15583,1786255.08187,52888476.4485,1552995.30354,49650433.14097,1902361.8106,1348964.1243,1069329.26849,54285749.67773,1456651.89789,1741970.41903,1829070.14837,1874922.4902,1003039.74483,1895752.73015,1853672.16088,1706864.54879,1880839.74115
117.0377@604.77,1661816.18579,2837003.70279,2496584.36168,353339.43464,854255.1859,2628075.36687,1412012.7935,365054.98098,374289.94448,384404.78639,346797.81985,2518673.28297,2947433.03075,2006284.37057,3003893.55119,1763839.03334,2033933.90294,2274929.47732,1622515.9548,2031358.04672,2588226.00686,253333.00935,2835978.68117,370320.16329,1453767.4792,408503.77339,368042.07719,1759396.86584,361831.51218
117.1802@636.43,127508.10044,736497.92449,258424.57582,678297.49184,371996.63422,534106.65345,17290.56505,648764.57121,694752.47328,674920.47344,664317.37004,256755.36847,622500.37187,157249.17207,167280.88017,83399.94209,724718.28084,77101.92999,49506.52143,150991.0864,113519.53732,566127.50752,652269.54199,689644.19653,34723.24103,732806.02963,680375.16534,523355.5248,720103.02108
117.9275@571.44,1240790.94964,9576739.75586,1899892.74381,5958952.25536,105046.93375,1616104.41029,922599.74609,4786141.04456,9830049.34067,11044078.36255,4346914.72391,2761740.57688,116295.61344,2466315.45066,153446.86944,1153899.66361,3002660.9272,1403826.34477,928769.98364,1320390.16061,1685085.60618,8931582.78476,10021243.31365,6796282.21059,1112942.67018,5092265.81077,2646718.6519,7983669.24547,2176478.11391
117.9276@604.72,1964289.51369,5737511.68015,5742653.08693,5880980.60303,5517922.73801,5492442.80244,3944056.08619,4447997.78392,5895332.291,5907720.67996,7799273.08003,4974923.65825,6622934.35639,3166525.8954,5288478.22733,2910192.734,6173801.10976,3181325.66792,4270771.03166,4890296.36958,5022175.47304,5501668.76391,5834708.91193,5864632.25265,3994332.40741,6666522.41911,5752032.49579,5498450.23633,6226990.5418
117.9278@635.53,5410424.72117,8552132.16161,6373813.82604,8470132.97797,6949391.50183,7596906.96778,4229713.5907,8169099.75968,8412808.82496,8269750.47824,8280366.77168,6379221.78369,8077890.68812,5777549.6824,6604907.81973,5163643.3935,8466558.76711,5775194.27341,4773481.40501,5710267.0001,6217106.51888,7868512.76855,8238460.29547,8510911.94365,4570642.11902,8578584.07364,8444582.71107,7647663.5612,8528849.42186
118.9268@635.75,2017725.3508,3140141.61973,2331512.19896,3046838.10005,2575522.05439,2802684.495,1438255.68892,22216.87785,3027934.93198,3167840.45368,22271.43859,1871887.65663,2931389.41152,2057401.43251,2523050.26051,1874670.29495,2965984.75708,2192481.05239,1710291.39956,2077523.29615,2397299.3779,3015754.81314,3039359.30594,3526.33481,1631363.04793,3272572.32981,3033060.98582,2728071.52632,3246225.91636
121.0285@521.69,279471.40047,291498.46095,249222.11109,262178.52893,299598.61779,235851.93083,309660.69827,249668.1749,316383.86124,257061.74018,258868.5314,230457.5209,274832.31941,222613.20818,255352.81738,279923.55404,243372.11298,223751.67025,275948.48785,257609.62547,252794.9429,242809.14377,231764.05809,255186.11429,273212.62725,248398.08947,264327.27388,248901.43564,261113.05192
122.9685@637.36,268602.85265,484978.29846,354676.94851,483941.18893,438714.28537,461395.97438,206553.50644,467534.41873,532075.60105,473876.52789,476677.11721,345562.41912,488682.56528,300823.20385,373805.4704,277414.72628,493687.59705,298509.26683,245299.08996,296639.43664,318474.72969,502994.39116,470825.6207,470819.60075,233903.79978,477799.81984,511001.44435,452451.13869,470561.21868
123.901@138.35,585504.00969,446470.4805,452664.87518,375030.66845,447944.89198,466502.78893,664011.80618,428178.58193,423585.0607,424874.42754,407012.01923,501741.93931,446768.94062,461976.2247,458521.25087,474634.9352,389938.21862,468760.13619,478646.40315,504501.54405,416960.49973,408360.43485,436781.138,418947.47465,500743.23092,412314.82891,421740.86961,411592.32186,400227.21387
123.9359@637.45,11091.38265,18078.08693,13085.02024,16991.75248,16752.09293,17825.40917,7930.21587,16829.55147,17459.11835,17127.70112,17972.47368,12901.92998,18004.73535,10654.38106,15444.03308,10385.08837,18540.97173,10984.15264,9964.89034,11402.74164,11086.94341,18506.10128,17696.85668,17580.77919,9854.71792,17033.00346,17648.41313,17543.85071,18308.20997
124.9655@637.36,6664.1801,10613.06587,8582.38261,10630.28475,10478.50547,10894.49325,4985.17043,10997.66522,12277.00966,10778.59783,11487.30922,7029.67403,11069.98269,7352.10685,9116.63319,6960.21198,11494.03778,7426.44367,6054.21365,6782.28887,8438.86465,10049.48725,11706.70801,10904.66745,5029.83644,11487.68381,10883.68821,10520.51311,11122.81423
125.8988@638.07,351519.94107,175440.28565,306625.13481,213078.04071,276216.32694,277738.80538,472422.81405,189278.3064,225603.12726,180593.40909,190070.79347,286037.43865,242714.14208,323627.28262,307511.80287,350469.34476,191147.4172,356180.95655,374611.93751,306693.73661,337519.97488,250182.4979,191604.02665,196932.55007,405311.32538,182473.71847,195973.60331,269227.27694,181756.04359
127.0003@641.56,62478.41962,42581.30422,49618.33004,41013.91419,40102.12123,43794.78915,19349.56886,43492.63701,41669.4706,40302.04934,43995.70978,52505.20868,40595.31974,19176.32219,49870.29119,57104.00731,45904.67918,60651.38463,2650.41022,40545.80292,53276.98993,41615.97265,43903.25097,42198.54079,2849.76927,43385.79366,40448.30015,43533.30897,41725.36922
127.0011@31.73,299100.45624,296149.47228,278934.75721,210512.79704,304088.01074,306643.22692,319024.00149,285313.76733,265638.75515,116696.15091,292265.3514,290763.12077,214512.65385,293781.55046,276118.56489,280691.11386,175302.42861,297465.10664,306305.23753,263660.47173,306236.33564,277888.03061,265653.48177,130704.8035,293067.68921,279645.03085,288011.94073,258161.9154,31206.22682
127.0512@31.02,19377.75862,7397.76496,18748.9942,4466.07371,9684.66037,9132.1874,19144.7372,7912.82516,11366.06089,12938.31931,17375.99625,14334.11295,8121.95501,13590.09147,9948.69635,16571.74133,9977.01562,9222.0478,12866.07732,17367.83504,20683.46873,13002.17744,5507.58392,4370.73809,6042.03817,5880.13863,22827.45145,15588.18262,10776.08931
128.0344@497.92,70608.71743,150731.64382,105581.58384,124271.76882,95608.73001,80431.10943,27449.1282,153880.18826,143123.53193,134170.40768,82958.25023,106438.18497,122246.54731,96547.29704,132669.10933,71366.34015,143116.25553,88030.04968,54292.55555,60258.21756,92452.55006,115733.96135,96184.072,144628.39775,41972.47663,106023.57843,115895.85019,113416.07531,150158.38021
128.0352@29.49,84501.91188,185869.04453,141260.84342,57341.34956,275035.75446,148994.52272,58725.72739,79888.50893,216612.58836,8942.83202,169604.55698,142689.06439,32628.17919,80047.62466,194207.50783,81083.61208,31790.78349,8696.74923,165970.57539,102594.60128,155879.37878,233418.06073,178719.25459,21641.8359,141382.70844,115889.97555,145902.76227,88577.84485,141866.2053
129.0912@195.42,18856.28293,23070.03038,24754.32745,32832.20238,31911.18459,28381.16851,23739.96685,16975.65639,17652.26098,35265.31228,17141.90796,32144.71695,23971.34652,23504.17326,16408.6175,34436.34442,23616.59559,33714.12667,30198.38356,19489.19752,18192.2299,33310.40277,33999.23953,23590.06668,21977.44365,32498.29352,30810.18367,24598.25686,34988.87173
