,woman_Pt070_RPLCneg,woman_Pt113_RPLCneg,men_Pt027_RPLCneg,woman_HCW099_RPLCneg,men_Pt025_RPLCneg,woman_Pt019_RPLCneg,woman_Pt058_RPLCneg,woman_Pt087_RPLCneg,woman_HCW045_RPLCneg,woman_Pt123_RPLCneg,men_Pt074_RPLCneg,men_Pt063_RPLCneg,woman_HCW008_RPLCneg,men_Pt013_RPLCneg,woman_Pt032_RPLCneg,woman_HCW103_RPLCneg,woman_Pt092_RPLCneg,men_Pt010_RPLCneg,woman_HCW019_RPLCneg,men_HCW237_RPLCneg,men_Pt020_RPLCneg,men_Pt116_RPLCneg,woman_HCW035_RPLCneg,woman_Pt122_RPLCneg,men_Pt068_RPLCneg,men_Pt007_RPLCneg,men_HCW012_RPLCneg,woman_Pt085_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg
Label,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,HC,HC
692.0185@526.78,35052.96002,35923.16202,35338.61135,65680.21826,40845.6401,59203.76361,37197.8386,39429.62662,38314.85301,39560.88754,59805.53645,40580.52116,27698.61585,54269.84829,43255.69328,30026.48784,27806.25593,52262.20618,35177.45071,33421.43204,29294.60161,40990.32525,31332.59404,28782.51992,37675.25645,33689.58946,34297.06904,34778.93764,43726.10617,45940.60957
556.9393@509.01,176123.80429,197455.30327,193439.67827,284594.64175,218309.50967,282914.04113,214044.48955,215366.69615,197808.61969,197928.82107,264429.8722,236149.30506,175242.44073,251879.69362,221572.39044,152818.08042,158072.40728,253268.38202,209153.41759,186181.73276,158365.51456,185974.06526,175503.36888,157276.4829,190929.85368,189605.50185,182541.48806,180345.56511,218649.06033,226140.48566
598.9497@509,430329.46143,487961.17915,464475.03064,715234.87406,535652.43011,700776.77929,531403.48356,530802.35069,484353.41638,489382.72008,665529.30095,585556.58325,418760.07589,620400.35398,528349.29501,373229.81906,399484.53058,620403.17924,510465.86264,466225.98765,388888.24454,459477.22408,437809.62254,392313.10774,485272.20491,462792.45632,455294.34408,443249.41699,519890.41198,551672.16402
828.5734@505.19,10490642.03362,20459908.73663,10501071.46702,18679142.41232,10618687.0071,17945134.1755,10261191.51674,17143752.27981,13495883.88761,14883529.13418,17588988.05233,4349399.71276,19052173.49689,10810609.13287,10329775.94529,12658162.14601,16457576.89983,10764286.34846,16076414.28375,19291016.46368,12159230.71682,15442817.24696,14244615.53761,9181054.6048,19839309.83438,16822021.77814,12129607.25013,22528264.18486,13860510.66887,11721953.10725
319.227@344.95,223726.26284,237077.74617,148147.02888,22262.2738,300028.33063,165098.6655,444053.05762,32425.82068,31215.61994,462991.39383,290368.12174,235200.44218,44802.00026,171330.42371,150507.61966,103458.97822,149012.15984,60160.6118,22098.80295,9502.29854,345444.7687,409210.34468,8021.2303,230131.90472,378482.23057,447590.55101,10278.57356,211805.28848,59992.68874,58232.79781
676.9997@518.42,47997.39612,52056.75952,51920.2163,84912.60874,58191.96677,81108.22592,56734.65137,55991.22623,53989.28514,54114.34401,79627.42897,63541.91689,45679.45438,74304.50922,60689.95854,43339.81845,42002.09188,72554.32448,52418.282,50070.21211,45571.69343,52793.70416,44921.27903,42721.63192,53342.65429,51592.43384,47237.23373,48372.33947,59358.17885,62568.96372
613.7733@488.09,19927.89367,24721.18508,1464.83735,31687.1749,32572.57483,73323.42293,2030.83332,24791.38819,3876.70927,28512.71291,36845.51262,61586.66022,11187.86947,30955.06799,28656.65096,3169.01201,11767.13345,28951.16902,5062.62868,3091.56282,10562.80734,9545.65871,362.73291,13095.10714,13112.49772,31459.69685,702.77982,4109.22468,20780.97965,14845.66268
374.2046@479.07,33623.34701,32332.45191,28026.61331,28465.69655,43500.77432,35230.04647,32955.40412,29186.13725,21514.74828,42104.79931,32642.66748,47760.92793,41081.88144,32174.7407,32126.29798,28935.80374,28669.61305,33453.05306,26357.82109,23264.42809,32104.76565,30648.48924,18221.78685,33784.78654,28019.89492,34224.63401,13886.20104,26628.55638,36055.90391,32581.22187
596.9524@509.01,1374120.22066,1543183.26663,1503885.6018,2207004.47735,1683874.08696,2192757.28603,1685862.06439,1656064.84215,1555378.64019,1549808.335,2051500.33032,1815346.06705,1382590.80848,1943446.30563,1685710.53995,1219979.07513,1251626.69394,1947365.91384,1631013.0867,1471435.58179,1276155.06445,1477888.5256,1357094.32608,1240799.68181,1552187.75129,1484032.60175,1387151.92254,1405719.55322,1695372.81531,1748449.94781
619.959@508.86,8952.00414,9937.59441,9254.92408,15165.46432,10782.51508,14833.8116,9882.12545,11126.51249,11137.3377,10717.66392,14485.13033,11650.09152,9599.32798,13144.16302,10572.29398,8275.18152,8313.36859,12830.33074,9299.48075,9669.79504,8507.16372,9833.66391,8379.01349,8180.55399,9296.55203,9817.23492,9343.79481,8790.40398,11021.88629,11979.16445
